Role,Company Name,Location,Post Date
Apply for Lead - Artificial Intelligence - BFSI,Maven Workforce Inc.,"Pune, Maharashtra, India",1 month ago
Engineer,Deutsche Bank,"Pune, Maharashtra, India",1 week ago
Senior Engineer - Big Data,EPAM Systems,"Pune, Maharashtra, India",1 day ago
RIA - Data Engineer with Q&A,CodeElan Technologies,"Pune, Maharashtra, India",2 months ago
Financial Advisory_Forensic & Dispute Services_Process Mining,Deloitte Asia Pacific,"Pune, Maharashtra, India",1 week ago
Data Engineer - Data Pipeline & Warehousing,Genzeon Technology Solutions,"Pune, Maharashtra, India",2 weeks ago
Tech Lead,IDESLABS PRIVATE LIMITED,Pune/Pimpri-Chinchwad Area,4 months ago
Lead Data Engineer,MSD,"Pune, Maharashtra, India",1 month ago
Assistant Manager - PL - Prime - T1(JR00112536),Bajaj Finserv,"Pune, Maharashtra, India",2 weeks ago
Microstrategy,Applycup Hiring Solutions,"Pune, Maharashtra, India",1 month ago
Data Engineer,Cummins India Ltd,"Pune, Maharashtra, India",2 days ago
Power BI Developer,Headsnminds Consultants Pvt. Ltd.,"Pune, Maharashtra, India",1 month ago
Data Analyst,Gharondaa Advisors Private Limited,"Pune, Maharashtra, India",3 weeks ago
Manager - Data Science (NLP),MSD,"Pune, Maharashtra, India",1 day ago
Manager Data Science,MSD,"Pune, Maharashtra, India",1 month ago
Demand Manager,HyreFox Consultants,"Pune, Maharashtra, India",1 month ago
Data Engineer,V-Tech Data Outsourcing,"Pune, Maharashtra, India",3 weeks ago
Data Engineer,STERIS,"Pune, Maharashtra, India",3 weeks ago
"Sr. Specialist, Rapid Data Analyst",MSD,"Pune, Maharashtra, India",3 weeks ago
Python Lead (AI/ML),TeamPlus Staffing Solution Pvt Ltd,"Pune, Maharashtra, India",3 days ago
Data Engineer - AWS Cloud,e-Hireo,"Pune, Maharashtra, India",3 weeks ago
Data Engineer - Hadoop/GCP,Deutsche Bank,"Pune, Maharashtra, India",1 day ago
Data Engineer (Job ID MK),Talent Corner HR Services Pvt Ltd,"Pune, Maharashtra, India",1 month ago
Cloud Data Engineer (Innovation),Deutsche Bank,"Pune, Maharashtra, India",2 months ago
CIEL/SEL/24336: Warehouse Operations Analyst,CIEL HR,"Pune, Maharashtra, India",2 days ago
Data Engineer,IDESLABS PRIVATE LIMITED,"Pune, Maharashtra, India",2 months ago
Data Engineering Lead (Teradata & GCP),CIEL HR,"Pune, Maharashtra, India",2 days ago
Data Engineer,Mobile Programming LLC,"Pune, Maharashtra, India",1 month ago
